disp(nameNet)
D:\OneDrive - City, University of London\Acad\Research\texture\Horiz_Vert_Diag\Network_Case_1A
D:\OneDrive - City, University of London\Acad\Research\texture\Horiz_Vert_Diag\Network_Case_1A
Training on single CPU.
Initializing input data normalization.
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:00 |       21.59% |       6.3024 |          0.0010 |
|       2 |          50 |       00:00:15 |       46.67% |       1.2400 |          0.0010 |
|       3 |         100 |       00:00:32 |       70.74% |       0.7701 |          0.0010 |
|       4 |         150 |       00:00:52 |       75.74% |       0.6484 |          0.0010 |
|       5 |         200 |       00:01:09 |       80.42% |       0.5409 |          0.0010 |
|       6 |         250 |       00:01:26 |       82.01% |       0.5132 |          0.0010 |
|       7 |         300 |       00:01:44 |       81.90% |       0.5053 |          0.0010 |
|       8 |         350 |       00:02:01 |       85.11% |       0.4456 |          0.0010 |
|       9 |         400 |       00:02:17 |       85.17% |       0.4272 |          0.0010 |
|      10 |         450 |       00:02:33 |       85.08% |       0.4301 |          0.0010 |
|      12 |         500 |       00:02:50 |       85.48% |       0.4211 |          0.0010 |
|      13 |         550 |       00:03:06 |       88.06% |       0.3641 |          0.0010 |
|      14 |         600 |       00:03:21 |       86.80% |       0.3820 |          0.0010 |
|      15 |         650 |       00:03:37 |       87.96% |       0.3571 |          0.0010 |
|      16 |         700 |       00:03:52 |       87.17% |       0.3781 |          0.0010 |
|      17 |         750 |       00:04:07 |       86.56% |       0.3817 |          0.0010 |
|      18 |         800 |       00:04:22 |       88.56% |       0.3427 |          0.0010 |
|      19 |         850 |       00:04:37 |       88.39% |       0.3413 |          0.0010 |
|      20 |         900 |       00:04:52 |       88.18% |       0.3470 |          0.0010 |
|      22 |         950 |       00:05:07 |       88.57% |       0.3415 |          0.0010 |
|      23 |        1000 |       00:05:23 |       89.98% |       0.3071 |          0.0010 |
|      24 |        1050 |       00:05:40 |       89.16% |       0.3205 |          0.0010 |
|      25 |        1100 |       00:05:56 |       89.78% |       0.3041 |          0.0010 |
|      26 |        1150 |       00:06:12 |       88.96% |       0.3298 |          0.0010 |
|      27 |        1200 |       00:06:28 |       88.84% |       0.3236 |          0.0010 |
|      28 |        1250 |       00:06:45 |       90.32% |       0.2932 |          0.0010 |
|      29 |        1300 |       00:07:01 |       89.92% |       0.2993 |          0.0010 |
|      30 |        1350 |       00:07:16 |       89.76% |       0.3002 |          0.0010 |
|      32 |        1400 |       00:07:32 |       90.01% |       0.3004 |          0.0010 |
|      33 |        1450 |       00:07:47 |       91.13% |       0.2732 |          0.0010 |
|      34 |        1500 |       00:08:03 |       90.48% |       0.2864 |          0.0010 |
|      35 |        1550 |       00:08:18 |       90.75% |       0.2752 |          0.0010 |
|      36 |        1600 |       00:08:35 |       90.08% |       0.2967 |          0.0010 |
|      37 |        1650 |       00:08:51 |       90.13% |       0.2898 |          0.0010 |
